FALCON PLATFORM v1 — BUG & IMPROVEMENT TRACKER,,,,,,,,,,
ID,Date,Category,Priority,Status,Title,Description,Steps to Reproduce / Details,Expected Result,Actual Result / Current State,Role / Section
AD-23,2026-02-28,Code,High,Closed,Integrations page stuck in skeleton loading state — no content loads,"The Integrations page (/dashboard/integrations) shows only skeleton loading placeholders and never loads actual content. This is a critical page for enterprise users who need to connect ATS, HRIS, and other tools.",Navigate to Integrations under Tools & Config,"A list of available integrations (ATS, HRIS, Slack, etc.) with connect/configure options",Page stuck in skeleton loading state indefinitely,Admin User
AD-25,2026-02-28,Flow/Process,High,Closed,'Create Rule' button on Automation page navigates to AI Assistant instead of opening a rule creation form,Clicking the 'Create Rule' button (top-right) on the Automation Rules page navigated to /dashboard/assistant (AI Assistant) instead of opening a rule creation form or modal.,Navigate to Automation Rules → click 'Create Rule' (top-right button),Open a rule creation form or modal to define automation triggers and actions,Navigated to /dashboard/assistant (AI Assistant page),Admin User
AD-28,2026-02-28,UI/UX,Low,Open,Admin dashboard 'Getting Started' checklist shows 0 of 4 completed despite Admin being an existing account,The Admin dashboard shows a 'Getting Started' checklist with 0% completion. This checklist is appropriate for new users but should not be shown to an Admin account that manages the entire platform.,Log in as Admin → view Dashboard,Either no Getting Started checklist for admin or a checklist that reflects actual platform setup status,Getting Started checklist showing 0% completion for an Admin account,Admin User
AD-30,2026-02-28,UI/UX,Low,Open,Avatar URL field is a plain text input — no image upload button or preview,"The Avatar URL field requires users to manually enter a URL for their profile picture. There is no 'Upload image' button, drag-and-drop area, or preview of the current avatar.",Navigate to Profile settings,An image upload button or drag-and-drop area for avatar,Plain text input field requiring a URL,Admin User
AD-32,2026-02-28,UI/UX,Medium,Open,'ATS Settings' sidebar label navigates to a page titled 'ATS Integrations' — label mismatch,The sidebar item is labelled 'ATS Settings' but the page it navigates to is titled 'ATS Integrations' (/dashboard/settings/ats). The breadcrumb also reads 'Dashboard > Settings > ATS Integrations'. The sidebar label should match the page title.,Navigate to Settings → ATS Settings,Page title and sidebar label should match,"Sidebar says 'ATS Settings', page title says 'ATS Integrations'",Admin User
AD-34,2026-02-28,Flow/Process,High,Closed,'Admin Panel' sidebar link navigates to Client Accounts instead of the Admin Panel overview,Clicking 'Admin Panel' under Management navigates to /dashboard/admin/clients (Client Accounts page) instead of an Admin Panel overview page. The page title says 'Client Accounts' not 'Admin Panel'.,Expand Management → click Admin Panel,Navigate to an Admin Panel overview page,Navigated to /dashboard/admin/clients (Client Accounts),Admin User
AD-35,2026-02-28,Code,Medium,Closed,Client Accounts page shows '0 clients' in text but visually shows 6 clients,The page markdown extraction shows '0 clients' but the visual screenshot clearly shows 6 client cards. This suggests a data count rendering bug.,Navigate to Client Accounts,Correct client count displayed,Count shows '0 clients' in the text but 6 cards are visible,Admin User
AD-36,2026-02-28,Text/Content,Medium,Open,Client card for 'John Doe' shows client name as both company name and contact name — no company name set,The first client card shows 'John Doe' as the company name and 'John Doe' as the contact name. This appears to be a test account where the company name was not set — the system is falling back to the user's full name as the company name.,Navigate to Client Accounts,"Company name should be separate from contact name, or 'No company name set' should be shown",Client name 'John Doe' used as both company name and contact name,Admin User
AD-37,2026-02-28,Code,High,Open,TechCorp shows 11 Open Jobs in Admin view but Client User Jobs page shows 0 on initial load,"The Admin Client Accounts page shows TechCorp Middle East LLC has 11 Open Jobs. However, when logged in as the Client User (ahmed.hassan@techcorp.ae), the Jobs page showed 0 jobs initially. This is a data visibility inconsistency between the Admin and Client views.",Compare Admin Client Accounts view vs Client User Jobs page,Both views should show the same job count for the same organisation,Admin shows 11 Open Jobs for TechCorp; Client User Jobs page shows 0 on initial load,Admin User
AD-38,2026-02-28,Text/Content,High,Open,Multiple client accounts use test/placeholder data visible in the Admin Client Accounts page,"The Client Accounts page shows 6 clients, several of which are clearly test accounts: 'John Doe' (john.doe@example.com), 'Test Client' (testclient@example.com), 'Muhammad Tayyeb' (mtayyeb021@gmail.com — personal Gmail). These should be cleaned up before any client-facing demo or production launch.",Navigate to Client Accounts,Only legitimate client accounts should be visible; test accounts should be removed,"Test accounts visible: 'John Doe', 'Test Client', personal Gmail addresses",Admin User
AD-39,2026-02-28,UI/UX,Medium,Open,Client Accounts page has no 'Add Client' or 'Create Client' button,The Client Accounts page only has a year filter and a search bar. There is no button to add a new client account. This is a significant gap for an Admin who should be able to onboard new clients directly from the Admin panel.,Navigate to Client Accounts,An 'Add Client' or 'Create Client' button in the top-right,No such button exists,Admin User
AD-40,2026-02-28,Code,Critical,Closed,CRITICAL: Users page (/dashboard/admin/users) crashes the entire application,Navigating to the Users page under Management causes a full application crash: 'Application error: a client-side exception has occurred while loading falcon.up.railway.app'. The entire page goes blank and the application becomes unresponsive. This completely blocks Admin access to user management.,Log in as Admin → expand Management → click Users,A user management page listing all platform users,Full application crash — 'Application error: a client-side exception has occurred',Admin User
AD-41,2026-02-28,UI/UX,Medium,Open,Admin User Menu only shows 'Take Tour' and 'Logout' — missing Profile and Settings links,"The Admin User Menu shows: Admin User, admin@example.com, Take Tour, Logout. There are no links to Profile or Settings from the user menu. This is inconsistent with standard SaaS UX patterns.",Click on the Admin User avatar in the top-right,"User menu with Profile, Settings, and Logout options",Only 'Take Tour' and 'Logout' options visible,Admin User
CA-01,2026-02-28,Flow/Process,Medium,Open,Candidate default landing page after login is 'My Interviews' instead of the Dashboard,"After logging in as a Candidate, the user is redirected to /dashboard/interviews (My Interviews page) instead of /dashboard (the Dashboard). Every other role (Client, Admin) lands on the Dashboard after login.",Log in as Candidate User,Redirect to /dashboard (Dashboard overview),Redirected to /dashboard/interviews (My Interviews page),Candidate User
CA-02,2026-02-28,UI/UX,Medium,Open,Candidate 'My Interviews' search placeholder says 'Search by candidate name or job title' — irrelevant for candidates,"The search bar on the My Interviews page has the placeholder 'Search by candidate name or job title...' — this is the same placeholder used in the Client/Admin Interviews page. For a Candidate, searching by 'candidate name' is irrelevant since they can only see their own interviews.",Navigate to My Interviews as Candidate,"Placeholder relevant to candidate context (e.g., 'Search by job title...')",Placeholder says 'Search by candidate name or job title...' — copied from recruiter view,Candidate User
CA-03,2026-02-28,Code,High,Open,Candidate 'My Interviews' shows 'No interviews scheduled yet' despite platform having 27+ interviews,"The Candidate Interviews page shows 'No interviews scheduled yet.' However, the Client User session showed 27+ interviews in various states. The candidate account (interviewee@example.com) should have at least some interviews visible if they were scheduled for this user.",Log in as Candidate → navigate to My Interviews,List of scheduled/completed interviews for this candidate,'No interviews scheduled yet' — 0 interviews shown,Candidate User
CA-04,2026-02-28,Text/Content,High,Open,"Candidate dashboard greeting says 'Welcome back, Interview!' — using first name 'Interview' instead of full name","The dashboard greeting reads 'Welcome back, Interview!' — the system is using the first name field 'Interview' (from the account name 'Interview Candidate') as the greeting name. This looks unprofessional and incorrect.",Log in as Candidate → view Dashboard,"'Welcome back, [Candidate's actual first name]!' or a properly set display name","'Welcome back, Interview!' — using the word 'Interview' as a name",Candidate User
CA-05,2026-02-28,UI/UX,Low,Open,Candidate Dashboard is very sparse — only 3 zero-value statistics cards with no other content,"The Candidate Dashboard shows only 3 KPI cards: MY INTERVIEWS (0), COMPLETED (0), PENDING (0). There is no recent activity section, no upcoming interview schedule, no job application status, and no onboarding guidance.",Log in as Candidate → view Dashboard,"A rich candidate dashboard with upcoming interviews, application status, recent activity, and helpful next steps",Only 3 zero-value statistics cards — no other content,Candidate User
CA-06,2026-02-28,UI/UX,Medium,Closed,Candidate Dashboard has no 'Getting Started' or onboarding guidance for new candidates,"Unlike the Client and Admin dashboards which have a 'Getting Started' checklist, the Candidate dashboard has no onboarding guidance. A new candidate would have no idea what to do next or how to prepare for their interview.",Log in as Candidate → view Dashboard,A 'Getting Started' or 'What to expect' section with relevant guidance for candidates,No onboarding guidance or checklist visible,Candidate User
CA-07,2026-02-28,Code,High,Open,'My Application' page shows error: 'Unable to load application status — No application found',The My Application page shows an error state: 'Unable to load application status. No application found. Please ensure you have applied for a position.' This is the primary page for candidates to track their application status. The error message is also confusing — it conflates a technical error with a data issue.,Log in as Candidate → click My Application,"Application status page showing the candidate's application(s) with job title, stage, and next steps",Error state — 'Unable to load application status. No application found.',Candidate User
CA-08,2026-02-28,UI/UX,Medium,Open,'My Application' error page has no helpful guidance or CTA for candidates with no application,"When no application is found, the page only shows an error icon, the error message, and a 'Try again' button. There is no guidance for the candidate on what to do next. The 'Try again' button is also misleading since the issue is not a network error.",Navigate to My Application with no application linked,"Helpful guidance with a CTA (e.g., 'Contact your recruiter' or a link to browse jobs)",Only a 'Try again' button with no helpful guidance,Candidate User
CA-10,2026-02-28,UI/UX,Low,Open,"Candidate Assessments search placeholder says 'Search by candidate, job, or question…' — 'candidate' is irrelevant","The search bar on the Candidate Assessments page has the placeholder 'Search by candidate, job, or question…'. For a candidate, searching by 'candidate' name makes no sense since they can only see their own assessments.",Navigate to Assessments as Candidate,"Placeholder relevant to candidate context (e.g., 'Search by job or question...')","Placeholder says 'Search by candidate, job, or question…' — copied from recruiter view",Candidate User
CA-12,2026-02-28,UI/UX,High,Open,Candidate AI Assistant shows recruiter-focused prompt suggestions — not tailored for candidates,"The AI Assistant for the Candidate role shows the exact same prompt suggestions as the Admin/Client roles: 'SOURCING: What are the best practices for candidate sourcing?', 'ANALYTICS: How can I improve my time-to-hire metric?', 'JOB MANAGEMENT: How do I create effective job postings?'. These are all recruiter/admin tasks that a candidate has no access to.",Log in as Candidate → navigate to AI Assistant,"Candidate-specific prompt suggestions (interview prep, assessment tips, application status)","Recruiter-focused prompts (sourcing, analytics, job management, automation, creating jobs)",Candidate User
CA-13,2026-02-28,UI/UX,Medium,Open,"AI Assistant input placeholder says 'Create a job, Add a candidate, Schedule an interview...' — recruiter-focused for candidate role","The AI Assistant input field placeholder reads 'Ask anything or say: Create a job, Add a candidate, Schedule an interview...' — all of these are recruiter actions that a candidate cannot perform.",Navigate to AI Assistant as Candidate,Candidate-appropriate placeholder text,Recruiter-focused placeholder text,Candidate User
CA-14,2026-02-28,UI/UX,High,Open,Candidate Help Center shows recruiter-focused content — not tailored for candidates,"The Help Center for the Candidate role shows the exact same content as the recruiter/admin Help Center, including guides for Jobs, Candidates, Pipeline, Analytics, Tools & Configuration — all of which are recruiter-focused features that candidates cannot access.",Log in as Candidate → navigate to Help Center,"Candidate-specific help content (interview prep, assessment guide, application tracking)","Recruiter-focused help content (creating jobs, managing candidates, pipeline, analytics)",Candidate User
CA-15,2026-02-28,UI/UX,Medium,Open,Help Center 'Getting Started' quick link says 'Create your first job posting' — irrelevant for candidates,The 'Getting Started' quick access card in the Help Center says 'Create your first job posting' — this is a recruiter action that candidates cannot perform.,Navigate to Help Center as Candidate,"'Getting Started' card relevant to candidates (e.g., 'Prepare for your interview')",'Getting Started: Create your first job posting' — recruiter-focused,Candidate User
CA-16,2026-02-28,UI/UX,Medium,Open,Candidate User Menu only shows 'Take Tour' and 'Logout' — no Profile or Settings options,"The Candidate User Menu shows: Interview Candidate, interviewee@example.com, Take Tour, Logout. There are no links to Profile or Account Settings. Candidates should be able to update their profile (name, contact info, CV) from the user menu.",Click on the Candidate User avatar in the top-right,"User menu with Profile, Account Settings, and Logout options",Only 'Take Tour' and 'Logout' options visible,Candidate User
CA-17,2026-02-28,UI/UX,Low,Open,Candidate role label shown as 'Interviewee' in the user menu — inconsistent with 'Candidate' used elsewhere,"The User Menu shows the role as 'Interviewee' (below the name 'Interview Candidate'). Throughout the platform, this user type is referred to as 'Candidate'. The role label should be consistent.",Click on the Candidate User avatar in the top-right,"Role label consistent with the rest of the platform (e.g., 'Candidate')",Role label shows 'Interviewee',Candidate User
CA-19,2026-02-28,UI/UX,Low,Closed,Notifications panel takes too long to resolve from 'Loading...' to 'No notifications yet' empty state,"When clicking the Notifications bell, the panel shows 'Loading...' for several seconds before showing 'No notifications yet'. The delay is noticeable and may cause users to think the feature is broken.",Click the Notifications bell icon as any user,Notifications empty state should load immediately or show a quick skeleton placeholder,'Loading...' shown for several seconds before resolving to 'No notifications yet',Candidate User
CL-55,2026-02-28,Code,High,Open,Seniority Level frontend/backend values mismatch causing job creation failure,"The frontend Seniority Level dropdown offers: Junior, Mid, Senior, Lead, Principal. However, the backend validation rejects 'Lead' and 'Principal' with error: 'seniorityLevel must be one of the following values: junior, mid, senior, expert'. The backend expects 'expert' which does not appear in the frontend dropdown at all. This makes it impossible to create a job with Lead or Principal seniority level.","1. Go to Jobs → Create Job. 2. Fill Step 1 with any valid data. 3. In Step 2, select 'Lead' or 'Principal' as Seniority Level. 4. Complete remaining steps. 5. Click Create Job.","Job should be created successfully with the selected seniority level, OR frontend and backend values should be consistent.","Backend returns error: 'Failed to create job: seniorityLevel must be one of the following values: junior, mid, senior, expert'. Job creation fails for Lead and Principal seniority levels. The value 'expert' is not available in the frontend dropdown.",Client User / Create Job
CL-56,2026-02-28,UI/UX,Medium,Open,No confirmation dialog when changing job status to Closed,"When editing a job and changing the Job Status dropdown from 'Published' to 'Closed', the status changes immediately without any confirmation prompt. Accidentally closing an active job posting could have significant business impact. A confirmation dialog ('Are you sure you want to close this job?') should appear before the status change is applied.",1. Navigate to Jobs page. 2. Click Details on any published job. 3. Click Edit Job. 4. Click the Job Status dropdown. 5. Select 'Closed'.,A confirmation dialog should appear asking the user to confirm closing the job before the change is applied.,Status changes immediately to Closed without any confirmation. A toast notification 'You have unsaved changes' appears but no confirmation of the status change itself.,Client User / Jobs
CL-57,2026-02-28,UI/UX,Low,Open,Candidate search returns false positives — candidates without matching skills appear in results,"When searching for candidates by skill (e.g., 'React'), the search returns candidates who do not have that skill in their profile. For example, searching 'React' returns 'Candidate Tayyeb' who has D365 skills, not React. The search appears to match broadly across all candidate fields rather than filtering accurately by skill.",1. Navigate to Candidates page. 2. Type 'React' in the search field. 3. Review the returned results.,Only candidates with 'React' listed as a skill should appear in results.,"8 of 10 candidates returned including candidates without React skill. Search matches too broadly, producing false positives.",Client User / Candidates
CL-58,2026-02-28,UI/UX,Medium,Open,Candidate checkboxes visible but no bulk action toolbar appears when candidates are selected,"The Candidates page shows checkboxes on each candidate row and a header checkbox for select-all. However, selecting one or more candidates does not trigger any bulk action toolbar or panel. There is no way to perform bulk operations (e.g., bulk reject, bulk export, bulk move to stage) despite the UI suggesting this capability.",1. Navigate to Candidates page. 2. Click the checkbox on one or more candidate rows.,"A bulk action toolbar should appear offering options such as: Reject Selected, Export Selected, Move to Stage, etc.","Checkboxes can be selected but no bulk action bar appears. Only individual per-row actions (View, Schedule) remain available.",Client User / Candidates
CL-59,2026-02-28,UI/UX,Medium,Open,Pipeline Kanban board does not support drag-and-drop — only dropdown move works,"The Pipeline page shows a Kanban-style board and the page description states 'Drag candidates between stages or use the dropdown menu on mobile'. However, drag-and-drop functionality is not implemented. Candidates can only be moved between stages using the 'Move to' dropdown on each card. The drag-and-drop feature advertised in the UI description is non-functional.",1. Navigate to Pipeline page. 2. Attempt to drag a candidate card from one column to another.,Candidate card should be draggable between stage columns.,Drag-and-drop has no effect. Only the 'Move to' dropdown works for moving candidates between stages.,Client User / Pipeline
CL-60,2026-02-28,UI/UX,Low,Open,Interviews page has no calendar view — only list view available,"The Interviews page only provides a list/table view of interviews. There is no calendar view toggle, calendar icon, or date-based visual representation of scheduled interviews. Recruiters commonly need a calendar view to see interview schedules at a glance.",1. Navigate to Interviews page. 2. Look for a calendar view toggle or icon.,A calendar view option should be available to visualise interviews by date.,Only list/table view available. No calendar view toggle or icon present anywhere on the page.,Client User / Interviews
CL-61,2026-02-28,UI/UX,Medium,Open,No option to reschedule an interview from the interview detail page,"The interview detail page and the interviews list view do not provide any option to reschedule a scheduled interview. The only actions available are: Review Interview, Join AI Voice Interview, Resume Interview, View Details, Export CSV, and Print. There is no Reschedule button or link.",1. Navigate to Interviews page. 2. Click 'View Details' on any scheduled interview. 3. Look for a Reschedule option.,A 'Reschedule' button or option should be available to change the interview date/time.,No reschedule option found on interview detail page or in the interview list actions.,Client User / Interviews
CL-62,2026-02-28,UI/UX,Low,Open,Interviews page has no pagination — all interviews displayed in a single long list,"The Interviews page loads all interview records in a single scrollable list with no pagination controls, page size selector, or infinite scroll indicator. With 27+ entries currently visible, this will become unusable at scale.",1. Navigate to Interviews page. 2. Observe the full list of interviews.,Pagination controls or a 'Load more' mechanism should be present to manage large datasets.,All 27+ interview records are loaded in one long list with no pagination.,Client User / Interviews
CL-63,2026-02-28,UI/UX,Low,Open,No interview reminder or notification system for upcoming scheduled interviews,"The notification system only shows pipeline stage change notifications (e.g., 'Pipeline moved Candidate X -> contacted'). There are no interview-specific reminders such as 'Interview with [Candidate] in 30 minutes' or 'You have an interview scheduled today'.",1. Schedule an interview for a near-future time. 2. Check the notification bell. 3. Wait for the interview time to approach.,Notifications should include reminders for upcoming scheduled interviews.,Only pipeline stage change notifications appear. No interview reminders or time-based notifications.,Client User / Interviews / Notifications
CL-64,2026-02-28,UI/UX,Low,Open,HC-01 partial fix: FAQ click target offset — clicking FAQ item N expands item N+1,"After the partial fix to HC-01, FAQ items now show content when expanded. However, a new click-offset bug has been introduced: clicking on FAQ item N causes item N+1 to expand instead of the clicked item. For example, clicking 'How does the AI candidate matching work?' (item 2) expands 'How do I schedule an interview?' (item 3).",1. Navigate to Help Center. 2. Scroll to FAQ section. 3. Click the second FAQ item 'How does the AI candidate matching work?'. 4. Observe which FAQ expands.,The clicked FAQ item should expand and show its answer.,The next FAQ item (item N+1) expands instead of the clicked item. Click targets are offset by one position.,Help Center / FAQ
AD-42,2026-02-28,Code,High,Open,Admin Jobs page shows 0 jobs but Client Accounts shows 11+ open jobs across clients,"The Admin Jobs page (/dashboard/jobs) shows 0 jobs across all categories (Total, Published, Draft, Closed), yet the Client Accounts page shows TechCorp with 11 open jobs and Test Client with 5 open jobs. The Jobs page is not aggregating data from client accounts.",Log in as Admin → navigate to Jobs page → compare with Client Accounts page,Jobs page should show all jobs across all client organizations,Jobs page shows 0 while Client Accounts shows 16+ open jobs across clients,Admin User
AD-43,2026-02-28,UI/UX,Medium,Open,Admin Panel shows Companies: 5 but Client Accounts page shows 8 clients,"The Admin Panel overview shows Companies: 5, but the Client Accounts page shows 8 clients. There is a discrepancy between the two counts, suggesting different data sources or counting logic.",Navigate to Admin Panel → note Companies count → navigate to Client Accounts → compare,Companies count should match the number of client accounts,Admin Panel shows 5 companies; Client Accounts shows 8 clients,Admin User
AD-44,2026-02-28,UI/UX,Low,Open,Admin Panel 'Recent System Activity' shows activities from test accounts with personal email addresses,The Recent System Activity log shows activities from accounts like testcentre@bluefalcon.example.com and other test accounts. These test account activities should be cleaned up or filtered in a production/demo environment.,Navigate to Admin Panel → view Recent System Activity,Activity log should show only legitimate user activities,Test account activities visible with raw API endpoint strings,Admin User
AD-45,2026-02-28,Code,Medium,Open,Admin Interviews page shows candidate-facing empty state message instead of admin-appropriate message,"The Admin Interviews page shows 'No interviews scheduled yet' with 'When a recruiter schedules an interview, you'll receive an email invitation.' This is a candidate-facing message shown to an Admin user. The Admin should see all platform interviews.",Log in as Admin → navigate to Interviews,Admin should see all interviews across the platform or an admin-appropriate empty state message,Shows candidate-facing message: 'When a recruiter schedules an interview you'll receive an email invitation.',Admin User
CA-20,2026-02-28,UI/UX,Medium,Open,Candidate global search bar placeholder says 'Search jobs candidates interviews' — recruiter-focused,"The global search bar (Ctrl/Cmd+K) at the top of the page shows placeholder 'Search jobs, candidates, interviews…' which is the same as the recruiter view. A candidate should not be searching for 'candidates'.",Log in as Candidate → observe the global search bar placeholder,"Candidate-appropriate placeholder (e.g., 'Search interviews, assessments…')",Placeholder says 'Search jobs candidates interviews…' — same as recruiter view,Candidate User
CA-21,2026-02-28,Text/Content,Low,Open,Candidate dashboard subtitle says 'View your interview schedule and applications' but My Application page shows error,The dashboard subtitle reads 'View your interview schedule and applications' but clicking 'My Application' in the sidebar shows an error: 'Unable to load application status. No application found.' The subtitle creates a misleading expectation.,Log in as Candidate → view Dashboard subtitle → click My Application,Either the application feature should work or the subtitle should not reference it,Dashboard promises application tracking but the feature shows an error,Candidate User
